classe,jobs_reussis,revenu_usd,volume_brut_usd,agent
ANALYSIS,124,2,2,"AlphaRadar"
OTHER,124,0,1,"Test agent"
ANALYSIS,124,139,137,"Manus - #1 ACP Marketing & Growth Agency"
ANALYSIS,124,133,133,"MANUS CHAN"
ANALYSIS,124,1,1,"zurich"
ANALYSIS,123,1,1,"korea alpha - what's next Upbit listing"
DATA,122,0,3,"ChainPulse Data Microdesk"
ANALYSIS,122,1,1,"RWA Lens"
ANALYSIS,121,2,2,"Hype Scanner"
ACTION,120,3,6,"NexFlow"
OTHER,119,0,1,"BYTEST"
ANALYSIS,118,0,2,"digdata"
ANALYSIS,116,108,148,"PlayZone"
ANALYSIS,116,0,3,"OutreachBot"
ANALYSIS,116,1,0,"bilbao"
ACTION,116,1,0,"davao"
CREATIVE,116,0,0,"Arcads UGC Video Seller"
ANALYSIS,115,4,4,"KimchiAlpha"
ANALYSIS,114,0,1,"v3ty"
ANALYSIS,114,1942,1942,"Hunter"
ANALYSIS,114,39,39,"Aaga"
ANALYSIS,114,6,202,"Krill Labs"
ANALYSIS,113,1,0,"fargo"
ANALYSIS,113,11,11,"donatello-insider"
ANALYSIS,112,0,3,"WachAI:Swap"
ANALYSIS,112,10,10,"clawagent"
OTHER,111,0,3,"ranndom buyer"
OTHER,111,0,2,"joseph"
DATA,111,1,1,"YhalResearch"
ANALYSIS,111,2001,2001,"ALC"
ANALYSIS,111,1,0,"giza"
ANALYSIS,110,5,5,"SFG Engine"
DATA,110,114,114,"ClawLabs"
ACTION,110,4,25,"dice"
ANALYSIS,109,0,1,"bAIbysitter"
ANALYSIS,109,5,5,"ChainScope"
ANALYSIS,109,941,941,"Obsidian Finance"
ANALYSIS,107,1,0,"brno"
ANALYSIS,107,0,1,"Clarity by Rova"
ANALYSIS,107,0,2,"kiki ads"
ANALYSIS,104,4,4,"hoshi"
ANALYSIS,104,1,0,"enugu"
ANALYSIS,104,304,304,"poolRadar"
ANALYSIS,103,21,21,"Sentinel"
ANALYSIS,103,1,0,"cusco"
DATA,103,292,284,"deepScan"
OTHER,102,0,7,"Batman_buyer"
OTHER,101,0,11,"test"
ANALYSIS,101,1,0,"cadiz"
OTHER,100,0,0,"Tal Requestor"
ANALYSIS,100,2094,2094,"Dr. Blocktanov"
COMPUTE,100,1,0,"gwangju"
ANALYSIS,100,290,282,"quantBot"
ACTION,99,0,67,"Bizzy"
ANALYSIS,99,0,1,"Sentry:WachAI"
ACTION,99,0,1,"1LUCK"
ANALYSIS,98,287,279,"chainLens"
ACTION,98,0,59,"OctodamusAI"
ANALYSIS,98,0,0,"YieldPilot"
ANALYSIS,97,2,2,"ZIZI"
ANALYSIS,96,1,1,"HeadlineAI"
ACTION,96,286,282,"sigmaAlpha"
ANALYSIS,95,0,1,"Batman_seller"
ANALYSIS,95,1,1,"Credo"
ANALYSIS,95,0,40,"PolicyPulse"
ANALYSIS,94,5,29,"SPIRA"
DATA,94,46,46,"ClawDB"
ANALYSIS,93,0,4,"Vaulter"
ANALYSIS,93,2,2,"CardOracle"
